property_name,property_area_or_psf,property_total_price
Little India Conservation Area,"1,000 sqft / $3.39 psf(Built)","$3,388"
Bedok North Street 4,"4,596 sqft / $4.13 psf(Built)","$19,000"
26 Jalan Membina,170 sqft / $17.65 psf(Built),"$3,000"
Owen Road,750 sqft / $5.33 psf(Built),"$4,000"
Upper East Coast Road,"2,530 sqft / $5.14 psf(Built)","$13,000"
Tiong Bahru Orchid,"1,765 sqft / $10.20 psf(Built)","$18,000"
Exeter Road,"3,974 sqft / $11.98 psf(Built)","$47,600"
Yio Chu Kang Road,"1,000 sqft / $3.50 psf(Built)","$3,500"
Jurong West Street 51,"1,500 sqft / $12.00 psf(Built)","$18,000"
Tiong Bahru Road,915 sqft / $19.13 psf(Built),"$17,500"
Bukit Timah Road,"2,500 sqft / $7.20 psf(Built)","$18,000"
Clementi Avenue 3,400 sqft / $32.25 psf(Built),"$12,900"
Lorong 35 Geylang,829 sqft / $6.03 psf(Built),"$5,000"
Ubi Road 4,"3,223 sqft / $4.80 psf(Built)","$15,469"
Jurong Gateway Road,"6,897 sqft / $5.00 psf(Built)","$34,495"
Orchard Road,"1,100 sqft / $11.00 psf(Built)","$12,100"
Tanjong Pagar Road,"2,600 sqft / $14.62 psf(Built)","$37,999"
Tanjong Pagar Road,"1,300 sqft / $13.85 psf(Built)","$18,000"
Tras Street,"1,600 sqft / $5.38 psf(Built)","$8,600"
Tanjong Pagar Road,"1,165 sqft / $6.00 psf(Built)","$6,988"
Keong Saik Road,"4,000 sqft / $8.22 psf(Built)","$32,888"
Tanjong Pagar Road,"2,200 sqft / $9.68 psf(Built)","$21,300"
Duxton Road,"1,300 sqft / $5.00 psf(Built)","$6,500"
Telok Ayer Conservation Area,"6,149 sqft / $8.13 psf(Built)","$49,999"
Tanjong Pagar Road,"1,100 sqft / $13.09 psf(Built)","$14,400"
Tanjong Pagar Road,"1,300 sqft / $15.38 psf(Built)","$20,000"
Tanjong Pagar Conservation Area,"3,954 sqft / $7.59 psf(Built)","$29,999"
Craig Road,"1,530 sqft / $12.09 psf(Built)","$18,499"
Tras Street,"2,000 sqft / $6.50 psf(Built)","$13,000"
Duxton Road,"2,100 sqft / $7.57 psf(Built)","$15,888"
Jurong East Street 24,"1,603 sqft / $4.37 psf(Built)","$7,000"
555 Ang Mo Kio Avenue 10,320 sqft / $10.63 psf(Built),"$3,400"
Clementi Avenue 2 Shopping Centre,"1,620 sqft / $4.81 psf(Built)","$7,800"
Bedok South Avenue 3,270 sqft / $27.78 psf(Built),"$7,500"
Kreta Ayer Conservation Area,970 sqft / $16.49 psf(Built),"$16,000"
Duxton Road,"1,300 sqft / $5.54 psf(Built)","$7,200"
Ang Mo Kio Avenue 4,320 sqft / $22.50 psf(Built),"$7,200"
Boat Quay Conservation Area,840 sqft / $14.29 psf(Built),"$12,000"
Desker Road,"1,000 sqft / $3.50 psf(Built)","$3,500"
Cheng San Centre,360 sqft / $13.89 psf(Built),"$5,000"
Hougang Avenue 1,400 sqft / $20.00 psf(Built),"$8,000"
Commonwealth Avenue West,400 sqft / $33.75 psf(Built),"$13,500"
Telok Ayer Conservation Area,"6,100 sqft / $8.20 psf(Built)","$50,000"
Telok Ayer Street,958 sqft / $19.31 psf(Built),"$18,500"
Telok Ayer Street,"1,603 sqft / $12.01 psf(Built)","$19,248"
Kreta Ayer Road,800 sqft / $6.00 psf(Built),"$4,800"
Ubi Avenue 1,750 sqft / $12.67 psf(Built),"$9,500"
Ubi Avenue 1,500 sqft / $12.40 psf(Built),"$6,200"
St. Georges Road,710 sqft / $7.75 psf(Built),"$5,500"
Orchard Road,492 sqft / $20.33 psf(Built),"$10,000"
Stirling Road,776 sqft / $5.41 psf(Built),"$4,200"
Geylang Road,"2,200 sqft / $4.09 psf(Built)","$9,000"
Joo Chiat Road,"2,200 sqft / $4.00 psf(Built)","$8,800"
St. Georges Road,400 sqft / $7.75 psf(Built),"$3,100"
Petain Rd/ Tyrwhitt Road Conservation Area,"3,600 sqft / $6.94 psf(Built)","$25,000"
New Bridge Road,269 sqft / $30.00 psf(Built),"$8,070"
Tanjong Pagar Road,"1,165 sqft / $6.00 psf(Built)","$6,990"
Wallich Street,151 sqft / $35.76 psf(Built),"$5,400"
One Raffles Place,"1,300 sqft / $20.00 psf(Built)","$26,000"
New Bridge Road,"2,000 sqft / $14.00 psf(Built)","$28,000"
Telok Ayer Street,"2,766 sqft / $12.65 psf(Built)","$35,000"
Telok Ayer Conservation Area,"1,645 sqft / $15.81 psf(Built)","$26,000"
Thomson Road,800 sqft / $13.75 psf(Built),"$11,000"
Bras Basah Road,"2,804 sqft / $16.41 psf(Built)","$46,000"
Geylang Conservation Area,"1,587 sqft / $3.90 psf(Built)","$6,188"
International Building,"1,136 sqft / $15.00 psf(Built)","$17,040"
Petain Rd/ Tyrwhitt Road Conservation Area,"3,600 sqft / $6.94 psf(Built)","$25,000"
Clementi Avenue 3,400 sqft / $33.75 psf(Built),"$13,500"
The Flow,"2,111 sqft / $4.50 psf(Built)","$9,500"
Little India Conservation Area,"1,000 sqft / $7.50 psf(Built)","$7,500"
Havelock Road,688 sqft / $15.99 psf(Built),"$11,000"
Race Course Road,"1,550 sqft / $8.90 psf(Built)","$13,800"
Race Course Road,"1,510 sqft / $10.46 psf(Built)","$15,800"
Springside Walk,750 sqft / $6.40 psf(Built),"$4,800"
Upper Boon Keng Road,700 sqft / $9.29 psf(Built),"$6,500"
Jurong East Street 13,200 sqft / $11.00 psf(Built),"$2,200"
Duxton Road,"1,300 sqft / $9.23 psf(Built)","$12,000"
Queensway Shopping Centre,130 sqft / $15.38 psf(Built),"$2,000"
Kampong Bahru Road,"2,400 sqft / $3.67 psf(Built)","$8,800"
Kampong Bahru Road,"3,500 sqft / $4.00 psf(Built)","$14,000"
Amoy Street,900 sqft / $10.00 psf(Built),"$9,000"
Telok Ayer Conservation Area,900 sqft / $10.00 psf(Built),"$9,000"
Tampines Industrial Crescent,"5,719 sqft / $3.60 psf(Built)","$20,588"
Stanley Street,"1,142 sqft / $11.82 psf(Built)","$13,500"
Purvis Street,"1,700 sqft / $7.06 psf(Built)","$12,000"
Tampines Industrial Crescent,"5,719 sqft / $3.60 psf(Built)","$20,588"
Hougang Avenue 1,500 sqft / $15.00 psf(Built),"$7,500"
Geylang Road,"2,850 sqft / $4.17 psf(Built)","$11,888"
Kreta Ayer Conservation Area,"1,100 sqft / $10.00 psf(Built)","$11,000"
Jalan Besar,667 sqft / $9.00 psf(Built),"$6,000"
Geylang Road,250 sqft / $12.00 psf(Built),"$3,000"
Telok Ayer Conservation Area,958 sqft / $19.31 psf(Built),"$18,500"
East Coast Road,"1,500 sqft / $2.67 psf(Built)","$4,000"
Lavender Street,"6,000 sqft / $5.00 psf(Built)","$30,000"
Temasek Boulevard,"6,700 sqft / $8.96 psf(Built)","$60,000"
Whampoa Drive,30 sqft / $116.67 psf(Built),"$3,500"
Science Park Road,"4,172 sqft / $4.79 psf(Built)","$19,999"
Bedok South Avenue 3,721 sqft / $8.32 psf(Built),"$6,000"
Woodlands Street 32,31 sqft / $90.32 psf(Built),"$2,800"
Clementi Avenue 2 Shopping Centre,712 sqft / $9.83 psf(Built),"$7,000"
Telok Ayer Conservation Area,"2,050 sqft / $5.85 psf(Built)","$12,000"
Boat Quay,"1,743 sqft / $4.30 psf(Built)","$7,500"
Bukit Timah Road,905 sqft / $16.57 psf(Built),"$15,000"
Owen Road,100 sqft / $30.00 psf(Built),"$3,000"
Yishun Ring Road,"1,499 sqft / $13.34 psf(Built)","$20,000"
New Bridge Road,"1,373 sqft / $8.01 psf(Built)","$11,000"
Telok Ayer Conservation Area,"6,150 sqft / $8.13 psf(Built)","$50,000"
Kreta Ayer Conservation Area,"1,082 sqft / $10.17 psf(Built)","$11,000"
Kreta Ayer Conservation Area,"1,082 sqft / $10.17 psf(Built)","$11,000"
South Bridge Road,"2,102 sqft / $11.89 psf(Built)","$25,000"
South Bridge Road,"2,184 sqft / $8.24 psf(Built)","$18,000"
East Coast Road,"1,435 sqft / $8.99 psf(Built)","$12,900"
North Bridge Road,"1,700 sqft / $8.82 psf(Built)","$15,000"
Bedok Reservoir Road,700 sqft / $9.29 psf(Built),"$6,500"
Yishun Ring Road,720 sqft / $26.39 psf(Built),"$19,000"
High Street Plaza,710 sqft / $10.99 psf(Built),"$7,800"
Orchard Road,"1,829 sqft / $11.00 psf(Built)","$20,119"
Kerbau Road,"1,000 sqft / $7.50 psf(Built)","$7,500"
North Bridge Road,"1,500 sqft / $8.67 psf(Built)","$13,000"
High Street Plaza,710 sqft / $10.99 psf(Built),"$7,800"
China Square Food Centre,"3,875 sqft / $9.01 psf(Built)","$34,930"
Tanjong Pagar Conservation Area,"1,216 sqft / $7.24 psf(Built)","$8,800"
Blair Plain Conservation Area,"3,500 sqft / $4.00 psf(Built)","$14,000"
Blair Plain Conservation Area,"1,100 sqft / $5.91 psf(Built)","$6,500"
Bedok North Street 1,400 sqft / $15.00 psf(Built),"$6,000"
South Bridge Road,"9,487 sqft / $6.32 psf(Built)","$60,000"
Telok Ayer Street,900 sqft / $10.00 psf(Built),"$8,999"
New Bridge Road,"1,100 sqft / $9.09 psf(Built)","$10,000"
Pasir Panjang Gardens,979 sqft / $6.13 psf(Built),"$6,000"
Bukit Pasoh Conservation Area,"1,830 sqft / $16.39 psf(Built)","$30,000"
Telok Ayer Conservation Area,"1,645 sqft / $15.81 psf(Built)","$26,000"
Bukit Pasoh Conservation Area,"1,369 sqft / $16.80 psf(Built)","$23,000"
NeWest,312 sqft / $4.81 psf(Built),"$1,500"
East Coast Road,"1,500 sqft / $2.67 psf(Built)","$4,000"
MAJU AVENUE,207 sqft / $23.19 psf(Built),"$4,800"
Jurong East Street 31,240 sqft / $20.83 psf(Built),"$5,000"
Yishun Central 1,250 sqft / $12.00 psf(Built),"$3,000"
Serangoon Avenue 3,210 sqft / $16.67 psf(Built),"$3,500"
Telok Ayer Street,958 sqft / $19.31 psf(Built),"$18,500"
Amoy Street,"1,130 sqft / $7.00 psf(Built)","$7,910"
Little India Conservation Area,"1,379 sqft / $5.80 psf(Built)","$8,000"
New Upper Changi Road,530 sqft / $16.98 psf(Built),"$9,000"
Sago Street,"1,866 sqft / $5.25 psf(Built)","$9,800"
Bedok North Street 1,750 sqft / $18.00 psf(Built),"$13,500"
Bishan North Shopping Mall,189 sqft / $21.16 psf(Built),"$4,000"
Amoy Street,"1,023 sqft / $7.20 psf(Built)","$7,366"
Telok Blangah Rise,740 sqft / $8.78 psf(Built),"$6,500"
Science Park Road,"4,955 sqft / $4.02 psf(Built)","$19,900"
Jalan Bukit Merah,872 sqft / $3.90 psf(Built),"$3,400"
East Coast Road,"1,792 sqft / $7.81 psf(Built)","$14,000"
Hongkong Street,"2,992 sqft / $7.35 psf(Built)","$22,000"
Boat Quay Conservation Area,"1,535 sqft / $5.86 psf(Built)","$9,000"
Lavender Street,688 sqft / $11.05 psf(Built),"$7,600"
Desker Road,"1,000 sqft / $3.50 psf(Built)","$3,500"
Buffalo Road,960 sqft / $12.19 psf(Built),"$11,700"
East Coast Road,"1,500 sqft / $5.33 psf(Built)","$8,000"
MARINE PARADE CENTRAL,"1,779 sqft / $10.50 psf(Built)","$18,680"
Desker Road Conservation Area,"1,238 sqft / $3.88 psf(Built)","$4,800"
Boat Quay Conservation Area,"1,400 sqft / $5.36 psf(Built)","$7,500"
Kerbau Road,"2,500 sqft / $6.40 psf(Built)","$16,000"
Little India Conservation Area,"1,300 sqft / $2.31 psf(Built)","$3,000"
Ghim Moh Road,160 sqft / $28.13 psf(Built),"$4,500"
North Buona Vista Drive,"1,100 sqft / $12.00 psf(Built)","$13,200"
Tampines Street 44,200 sqft / $12.50 psf(Built),"$2,500"
Raffles Quay,"2,000 sqft / $12.00 psf(Built)","$24,000"
Purvis Street,"1,850 sqft / $9.73 psf(Built)","$18,000"
Clementi West Street 2,720 sqft / $7.22 psf(Built),"$5,200"
The Arcade,291 sqft / $17.18 psf(Built),"$5,000"
Club Street,"1,250 sqft / $7.04 psf(Built)","$8,800"
Chai Chee Road,750 sqft / $6.67 psf(Built),"$5,000"
Vision Exchange,388 sqft / $9.02 psf(Built),"$3,500"
Vision Exchange,765 sqft / $8.89 psf(Built),"$6,800"
Joo Chiat Road,550 sqft / $7.00 psf(Built),"$3,850"
The Arcade,260 sqft / $13.46 psf(Built),"$3,500"
Clifford Centre,383 sqft / $20.00 psf(Built),"$7,660"
Robinson Road,"1,205 sqft / $15.01 psf(Built)","$18,085"
Jalan Besar,"1,200 sqft / $4.17 psf(Built)","$5,000"
Geylang Road,"2,400 sqft / $7.00 psf(Built)","$16,800"
Tanjong Pagar Conservation Area,"1,600 sqft / $5.38 psf(Built)","$8,600"
Jalan Berseh,300 sqft / $8.67 psf(Built),"$2,600"
International Building,365 sqft / $20.27 psf(Built),"$7,400"
International Plaza,176 sqft / $25.57 psf(Built),"$4,500"
Duxton Road,"1,950 sqft / $10.26 psf(Built)","$20,000"
Coleman Street,"1,465 sqft / $6.08 psf(Built)","$8,900"
Veerasamy Road,"2,000 sqft / $3.50 psf(Built)","$7,000"
Carlisle Road,800 sqft / $7.88 psf(Built),"$6,300"
Broadrick Road,270 sqft / $27.78 psf(Built),"$7,500"
Shelford Road,463 sqft / $6.05 psf(Built),"$2,800"
MAJU AVENUE,"1,369 sqft / $19.72 psf(Built)","$27,000"
Fnb approved Geylang Rd shophouse,"1,150 sqft / $6.96 psf(Built)","$7,999"
Changi Road,500 sqft / $4.00 psf(Built),"$2,000"
Bukit Merah Lane 1,342 sqft / $6.43 psf(Built),"$2,200"
Sims Avenue,"1,500 sqft / $6.33 psf(Built)","$9,500"
Aliwal Street,"1,640 sqft / $4.45 psf(Built)","$7,300"
Clementi Avenue 3,350 sqft / $32.86 psf(Built),"$11,500"
Raeburn Park,"5,000 sqft / $6.50 psf(Built)","$32,500"
Kallang Bahru,"2,612 sqft / $6.00 psf(Built)","$15,676"
Little India Conservation Area,700 sqft / $5.71 psf(Built),"$3,999"
Orchard Road,"5,000 sqft / $11.60 psf(Built)","$58,000"
Stevens Road,"1,367 sqft / $10.97 psf(Built)","$15,000"
Clementi Avenue 3,370 sqft / $22.43 psf(Built),"$8,300"
Veerasamy Road,"1,000 sqft / $4.00 psf(Built)","$4,000"
Boat Quay Conservation Area,"1,000 sqft / $6.00 psf(Built)","$6,000"
Bedok North Street 1,300 sqft / $23.33 psf(Built),"$7,000"
Bedok North Street 1,750 sqft / $18.00 psf(Built),"$13,500"
Pekin Street,"4,068 sqft / $6.50 psf(Built)","$26,442"
Bukit Batok Street 52,330 sqft / $6.97 psf(Built),"$2,300"
Telok Ayer Conservation Area,800 sqft / $10.63 psf(Built),"$8,500"
China Square Central,"3,900 sqft / $6.50 psf(Built)","$25,350"
The Bencoolen,"2,440 sqft / $5.50 psf(Built)","$13,420"
Bt Centre,"21,600 sqft / $5.00 psf(Built)","$108,000"
Serangoon Road,"8,900 sqft / $3.60 psf(Built)","$32,000"
City Square Mall,"8,900 sqft / $3.60 psf(Built)","$32,000"
Queen Street,"1,916 sqft / $8.35 psf(Built)","$16,000"
Tyrwhitt Road,"1,162 sqft / $8.18 psf(Built)","$9,500"
People's Park Complex,"2,175 sqft / $11.95 psf(Built)","$26,000"
Tai Thong Crescent,"1,620 sqft / $5.56 psf(Built)","$9,000"
Ang Mo Kio Avenue 8,150 sqft / $28.67 psf(Built),"$4,300"
Jalan Besar,"2,098 sqft / $9.53 psf(Built)","$20,000"
Turf Club Road,"2,100 sqft / $6.19 psf(Built)","$13,000"
Duxton Road,"1,300 sqft / $8.46 psf(Built)","$11,000"
Bedok North Street 1,750 sqft / $18.00 psf(Built),"$13,500"
New Bridge Road,"2,510 sqft / $9.96 psf(Built)","$25,000"
Bukit Pasoh Conservation Area,"1,369 sqft / $18.26 psf(Built)","$25,000"
The Arcade,312 sqft / $22.44 psf(Built),"$7,000"
Kreta Ayer Conservation Area,"3,500 sqft / $10.25 psf(Built)","$35,888"
Mackenzie Regency,603 sqft / $5.22 psf(Built),"$3,150"
Norris Road,"1,800 sqft / $3.61 psf(Built)","$6,500"
Ang Mo Kio Avenue 8,"1,634 sqft / $2876.38 psf(Built)","$4,700,000"
Ang Mo Kio Avenue 6,"1,800 sqft / $9.33 psf(Built)","$16,800"
Jurong West Street 41,"1,700 sqft / $2.94 psf(Built)","$5,000"
Balestier Road,"1,100 sqft / $8.80 psf(Built)","$9,680"
Jalan Besar,"1,200 sqft / $4.33 psf(Built)","$5,200"
Jurong Gateway Road,"1,200 sqft / $10.00 psf(Built)","$12,000"
JK Building,780 sqft / $5.38 psf(Built),"$4,200"
Sims Avenue,"2,100 sqft / $4.43 psf(Built)","$9,300"
Ang Mo Kio Avenue 10,721 sqft / $3.74 psf(Built),"$2,700"
Bedok North Street 1,750 sqft / $18.47 psf(Built),"$13,850"
Clementi Avenue 3,"1,150 sqft / $13.00 psf(Built)","$14,950"
Pasir Panjang Gardens,379 sqft / $8.71 psf(Built),"$3,300"
Monville Mansions,"2,347 sqft / $4.05 psf(Built)","$9,500"
Clementi Avenue 3,320 sqft / $28.13 psf(Built),"$9,000"
Bukit Merah Central,"3,800 sqft / $6.84 psf(Built)","$26,000"
JK Building,780 sqft / $4.87 psf(Built),"$3,800"
Clementi Avenue 3,305 sqft / $39.02 psf(Built),"$11,900"
Haji Lane,"1,155 sqft / $7.71 psf(Built)","$8,900"
Woodlands Street 32,301 sqft / $8.97 psf(Built),"$2,700"
Yishun Avenue 5,301 sqft / $24.92 psf(Built),"$7,500"
Woodlands Street 32,333 sqft / $8.11 psf(Built),"$2,700"
Woodlands Street 32,93 sqft / $68.82 psf(Built),"$6,400"
Yishun Street 72,720 sqft / $6.94 psf(Built),"$5,000"
Hongkong Street,"4,455 sqft / $4.49 psf(Built)","$20,000"
Bedok North Street 1,750 sqft / $18.40 psf(Built),"$13,800"
Bukit Merah View,"2,000 sqft / $7.90 psf(Built)","$15,800"
Temple Street,972 sqft / $8.23 psf(Built),"$8,000"
214 Bedok North Street 1,750 sqft / $18.00 psf(Built),"$13,500"
Cuff Road,"2,059 sqft / $4.86 psf(Built)","$10,000"
Jurong Gateway,"1,650 sqft / $12.12 psf(Built)","$20,000"
Jurong East Street 31,"1,895 sqft / $8.97 psf(Built)","$17,000"
Tiong Bahru Orchid,"2,498 sqft / $7.21 psf(Built)","$18,000"
Carpenter Street,"3,079 sqft / $6.50 psf(Built)","$20,000"
Carpenter Street,"4,349 sqft / $6.51 psf(Built)","$28,300"
BUKIT PASOH EXTNSN CONSTN AREA,936 sqft / $19.23 psf(Built),"$18,000"
Yio Chu Kang Road,"1,865 sqft / $5.09 psf(Built)","$9,500"
